"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Breukelen";"Bevolking aan het einde van de periode";"aantal";"14416";"14457";"14416";"14571";"14630";"14674";"14657";"14614";"14736";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brielle";"Bevolking aan het einde van de periode";"aantal";"15999";"15948";"16031";"15990";"15918";"15762";"15597";"15759";"15978";"16072";"16320";"16312";"16467";"16640";"16833";"17040";"17182";"17271";"17439";"17704";"18024";"";""
"Bronckhorst";"Bevolking aan het einde van de periode";"aantal";"";"";"";"37700";"37788";"37833";"37897";"37751";"37677";"37441";"37216";"36932";"36726";"36510";"36410";"36352";"36212";"36055";"36087";"36077";"36277";"36119";"36012"
"Brummen";"Bevolking aan het einde van de periode";"aantal";"21604";"21473";"21403";"21385";"21229";"21200";"21159";"21139";"21219";"21327";"21245";"21177";"20983";"20938";"20843";"20771";"20698";"20726";"20884";"20890";"21105";"21286";"21394"
"Brunssum";"Bevolking aan het einde van de periode";"aantal";"29942";"29595";"29777";"29623";"29590";"29742";"29532";"29448";"29375";"29199";"29081";"28958";"28656";"28448";"28358";"28241";"28103";"27821";"27670";"27674";"27682";"27770";"27534"
"Bunnik";"Bevolking aan het einde van de periode";"aantal";"14111";"14087";"14137";"14234";"14160";"14258";"14407";"14459";"14437";"14451";"14563";"14626";"14662";"14773";"15156";"15214";"15192";"15191";"15341";"15590";"16026";"16108";"16279"
"Bunschoten";"Bevolking aan het einde van de periode";"aantal";"19396";"19450";"19487";"19468";"19475";"19611";"19753";"20000";"20111";"20200";"20316";"20492";"20647";"20823";"21020";"21266";"21576";"21866";"22019";"22325";"22500";"22619";"22684"
"Buren";"Bevolking aan het einde van de periode";"aantal";"25689";"25756";"25648";"25584";"25647";"25727";"25667";"25887";"26013";"25949";"25939";"26019";"26117";"26202";"26348";"26365";"26568";"26749";"27009";"27155";"27725";"27773";"27978"
"Bussum";"Bevolking aan het einde van de periode";"aantal";"31267";"31300";"31220";"31237";"31308";"31704";"31979";"32112";"32410";"32585";"32631";"32631";"32870";"33097";"";"";"";"";"";"";"";"";""
"Capelle aan den IJssel";"Bevolking aan het einde van de periode";"aantal";"65318";"65354";"65480";"65602";"65374";"65022";"65273";"65345";"66104";"66122";"66024";"66178";"66478";"66486";"66421";"66854";"66818";"67122";"67319";"67188";"67552";"67925";"68624"
"Castricum";"Bevolking aan het einde van de periode";"aantal";"35327";"35291";"35091";"35020";"34863";"34705";"34739";"34652";"34593";"34474";"34402";"34288";"34361";"34604";"35216";"35608";"35772";"35986";"36086";"36263";"36345";"36366";"36618"
"Coevorden";"Bevolking aan het einde van de periode";"aantal";"36008";"36220";"36086";"36135";"36040";"35993";"35887";"36121";"36067";"35881";"35765";"35769";"35535";"35381";"35286";"35299";"35483";"35297";"35317";"35517";"35700";"35725";"35860"
"Cranendonck";"Bevolking aan het einde van de periode";"aantal";"20336";"20149";"20039";"20133";"20281";"20263";"20272";"20343";"20371";"20432";"20330";"20344";"20542";"20660";"20676";"20336";"20440";"21138";"21001";"20669";"20851";"20841";"21665"
"Cromstrijen";"Bevolking aan het einde van de periode";"aantal";"12980";"13027";"13048";"13049";"12980";"12853";"12837";"12818";"12789";"12780";"12762";"12738";"12784";"12755";"12797";"12826";"12916";"";"";"";"";"";""
