"Bevolkingsontwikkeling; regio per maand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regio's;Onderwerp;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025 januari*;2025 februari*;2025 maart*;2025 april *;2025 mei*;2025 juni*;2025 juli*;2025 augustus*;2025 september*;2025 oktober*
Capelle aan den IJssel;Bevolking aan het einde van de periode;aantal;65318;65354;65480;65602;65374;65022;65273;65345;66104;66122;66024;66178;66478;66486;66421;66854;66818;67122;67319;67188;67925;68624;68696;68734;68787;68841;68899;68984;69076;69213;69358;69574
Castricum;Bevolking aan het einde van de periode;aantal;35327;35291;35091;35020;34863;34705;34739;34652;34593;34474;34402;34288;34361;34604;35216;35608;35772;35986;36086;36263;36366;36618;36630;36681;36738;36782;36865;36887;36950;36986;37029;37043
Coevorden;Bevolking aan het einde van de periode;aantal;36008;36220;36086;36135;36040;35993;35887;36121;36067;35881;35765;35769;35535;35381;35286;35299;35483;35297;35317;35517;35725;35860;35818;35785;35774;35788;35777;35748;35750;35740;35746;35733
Cranendonck;Bevolking aan het einde van de periode;aantal;20336;20149;20039;20133;20281;20263;20272;20343;20371;20432;20330;20344;20542;20660;20676;20336;20440;21138;21001;20669;20841;21665;21514;21530;21590;21637;21597;21517;21502;21540;21447;21257
Cromstrijen;Bevolking aan het einde van de periode;aantal;12980;13027;13048;13049;12980;12853;12837;12818;12789;12780;12762;12738;12784;12755;12797;12826;12916;;;;;;;;;;;;;;;
Cuijk;Bevolking aan het einde van de periode;aantal;24325;24177;24223;24221;24249;24226;24309;24433;24580;24648;24743;24783;24649;24608;24696;24911;24931;25130;25404;25677;;;;;;;;;;;;
Culemborg;Bevolking aan het einde van de periode;aantal;26362;26594;27143;27157;27178;27298;27414;27501;27584;27632;27681;27590;27560;27644;27864;28195;28555;28955;29121;29397;29944;30281;30320;30328;30317;30324;30359;30372;30405;30395;30387;30392
Dalfsen;Bevolking aan het einde van de periode;aantal;26281;26428;26459;26439;26541;26735;27044;27259;27313;27432;27570;27674;27677;27916;28070;28242;28499;28587;28901;29162;29683;30047;30045;30042;30086;30104;30144;30139;30175;30227;30254;30273
Dantumadeel;Bevolking aan het einde van de periode;aantal;19685;19762;19679;19555;19461;19399;19367;;;;;;;;;;;;;;;;;;;;;;;;;
Dantumadiel;Bevolking aan het einde van de periode;aantal;;;;;;;;19283;19310;19264;19130;19030;19059;19015;18942;18904;18923;18922;18943;18957;19135;19137;19132;19130;19126;19152;19157;19168;19164;19177;19209;19214
