"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"BevolkingAanHetEindeVanDePeriode_15"
"24010";"GM0363";"2024JJ00";"931298";"934526"
"24028";"GM0364";"2002JJ00";"6418";"6390"
"24041";"GM0364";"2003JJ00";"6390";"6423"
"24054";"GM0364";"2004JJ00";"6423";"6425"
"24067";"GM0364";"2005JJ00";"6425";"6470"
"24080";"GM0364";"2006JJ00";"6470";"6593"
"24093";"GM0364";"2007JJ00";"6593";"6581"
"24106";"GM0364";"2008JJ00";"6581";"6495"
"24119";"GM0364";"2009JJ00";"6495";"6504"
"24132";"GM0364";"2010JJ00";"6504";"6518"
"24145";"GM0364";"2011JJ00";;
"24158";"GM0364";"2012JJ00";;
"24171";"GM0364";"2013JJ00";;
"24184";"GM0364";"2014JJ00";;
"24197";"GM0364";"2015JJ00";;
"24210";"GM0364";"2016JJ00";;
"24223";"GM0364";"2017JJ00";;
"24236";"GM0364";"2018JJ00";;
"24249";"GM0364";"2019JJ00";;
"24262";"GM0364";"2020JJ00";;
"24275";"GM0364";"2021JJ00";;
"24288";"GM0364";"2022JJ00";;
"24301";"GM0364";"2023JJ00";;
"24314";"GM0364";"2024JJ00";;
"24332";"GM0199";"2002JJ00";"4921";"4994"
"24345";"GM0199";"2003JJ00";"4994";"5136"
"24358";"GM0199";"2004JJ00";"5136";"5184"
"24371";"GM0199";"2005JJ00";;
"24384";"GM0199";"2006JJ00";;
"24397";"GM0199";"2007JJ00";;
"24410";"GM0199";"2008JJ00";;
"24423";"GM0199";"2009JJ00";;
